Unnamed: 0,League,Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,League_new,gameid
0,MSI 2023,Finals,Bilibili Gaming,JD Gaming,1 - 3,2,13.8,K'Sante,Lucian,Wukong,Gwen,Zeri,Jinx,Rakan,Maokai,Jayce,Vi,Xayah,Aphelios,Ahri,Tahm Kench,Kennen,Gragas,Thresh,Gnar,Sylas,Sion,Support,Jungle,Bot,Top,Mid,Jungle,Mid,Bot,Support,Top,MSI,ESPORTSTMNT04_2677232
1,MSI 2023,Finals,JD Gaming,Bilibili Gaming,2 - 1,1,13.8,Lucian,K'Sante,Vi,Wukong,Gwen,Jinx,Jayce,Annie,Lulu,Zeri,Rakan,Kennen,Gragas,Kindred,Maokai,Aphelios,Kha'Zix,Sion,Sejuani,Vayne,Mid,Bot,Support,Top,Jungle,Mid,Support,Top,Jungle,Bot,MSI,ESPORTSTMNT04_2677230
2,MSI 2023,Finals,Bilibili Gaming,JD Gaming,1 - 1,1,13.8,K'Sante,Lucian,Gragas,Vi,Ahri,Kennen,Jinx,Annie,Wukong,Rakan,Gwen,Lulu,Kha'Zix,Aphelios,Nautilus,Zeri,Xayah,Maokai,Jayce,Sion,Bot,Support,Top,Jungle,Mid,Mid,Jungle,Support,Bot,Top,MSI,ESPORTSTMNT04_2677229
3,MSI 2023,Finals,JD Gaming,Bilibili Gaming,1 - 0,1,13.8,Lucian,K'Sante,Vi,Annie,Gwen,Ahri,Jinx,Maokai,Lulu,Rakan,Jayce,Aphelios,Sylas,Fiora,Sejuani,Gnar,Syndra,Gragas,Nautilus,Jax,Bot,Support,Mid,Top,Jungle,Jungle,Support,Bot,Mid,Top,MSI,ESPORTSTMNT04_2677225
4,MSI 2023,Bracket Round 4,Bilibili Gaming,T1,3 - 1,1,13.8,Lucian,Maokai,K'Sante,Vi,Jinx,Annie,Nautilus,Rakan,Wukong,Zeri,Lulu,Xayah,Kindred,Kennen,Nidalee,Lissandra,Jax,Fiora,Kha'Zix,Ahri,Mid,Bot,Support,Top,Jungle,Support,Jungle,Bot,Top,Mid,MSI,ESPORTSTMNT04_2677203
5,MSI 2023,Bracket Round 4,T1,Bilibili Gaming,1 - 2,1,13.8,Vi,Lucian,Wukong,Annie,Maokai,Jinx,K'Sante,Gwen,Lulu,Xayah,Rakan,Zeri,Kennen,Taliyah,Gragas,Sion,Kindred,Kha'Zix,Jax,Galio,Mid,Bot,Support,Jungle,Top,Top,Support,Bot,Jungle,Mid,MSI,ESPORTSTMNT04_2679171
6,MSI 2023,Bracket Round 4,T1,Bilibili Gaming,0 - 2,2,13.8,Vi,Lucian,Wukong,Annie,Gwen,K'Sante,Maokai,Jinx,Lulu,Aphelios,Nautilus,Sion,Tristana,Ahri,Blitzcrank,Jax,Kindred,Jayce,Kennen,Sylas,Jungle,Bot,Support,Mid,Top,Bot,Support,Top,Jungle,Mid,MSI,ESPORTSTMNT04_2679169
7,MSI 2023,Bracket Round 4,Bilibili Gaming,T1,1 - 0,1,13.8,Lucian,Maokai,K'Sante,Vi,Jinx,Kha'Zix,Annie,Rakan,Wukong,Zeri,Lulu,Xayah,Poppy,Kennen,Sejuani,Nautilus,Gragas,Viego,Jax,Lissandra,Mid,Bot,Support,Jungle,Top,Support,Jungle,Bot,Top,Mid,MSI,ESPORTSTMNT04_2679153
8,MSI 2023,Bracket Round 4,T1,JD Gaming,2 - 3,2,13.8,Vi,Lucian,Wukong,Annie,Ahri,K'Sante,Maokai,Jinx,Rakan,Aphelios,Lulu,Gragas,Tristana,Kha'Zix,Jayce,Viego,Sejuani,Gwen,Nautilus,Sylas,Jungle,Bot,Support,Top,Mid,Bot,Support,Top,Jungle,Mid,MSI,ESPORTSTMNT04_2679110
9,MSI 2023,Bracket Round 4,JD Gaming,T1,2 - 2,1,13.8,Lucian,Maokai,Sion,Vi,K'Sante,Lulu,Annie,Nautilus,Jinx,Wukong,Rakan,Tahm Kench,Xayah,Poppy,Zeri,Rumble,Kindred,Aphelios,Gragas,Malphite,Mid,Jungle,Support,Bot,Top,Mid,Bot,Support,Jungle,Top,MSI,ESPORTSTMNT04_2679108
10,MSI 2023,Bracket Round 4,JD Gaming,T1,1 - 2,2,13.8,Lucian,Maokai,Rakan,Vi,Sion,Wukong,Annie,K'Sante,Jinx,Aphelios,Lulu,Nautilus,Gragas,Rumble,Viego,Blitzcrank,Kha'Zix,Xin Zhao,Ornn,Gwen,Mid,Bot,Support,Jungle,Top,Mid,Bot,Support,Jungle,Top,MSI,ESPORTSTMNT04_2679107
11,MSI 2023,Bracket Round 4,T1,JD Gaming,1 - 1,1,13.8,Vi,Lucian,Wukong,Annie,Ahri,K'Sante,Maokai,Sion,Jinx,Xayah,Rakan,Lulu,Gwen,Kha'Zix,Jayce,Syndra,Sejuani,Tristana,Ornn,Cassiopeia,Jungle,Bot,Support,Mid,Top,Top,Bot,Support,Jungle,Mid,MSI,ESPORTSTMNT04_2677137
12,MSI 2023,Bracket Round 4,JD Gaming,T1,1 - 0,1,13.8,Lucian,Maokai,Rakan,Vi,Sion,Ahri,Annie,K'Sante,Nautilus,Wukong,Jinx,Aphelios,Gwen,Rumble,Malphite,Lulu,Kindred,Gragas,Braum,Thresh,Mid,Jungle,Bot,Top,Support,Top,Mid,Bot,Jungle,Support,MSI,ESPORTSTMNT04_2679094
13,MSI 2023,Bracket Round 3,Gen.G,Bilibili Gaming,0 - 3,2,13.8,Lucian,Maokai,Nautilus,K'Sante,Kennen,Wukong,Annie,Jinx,Vi,Aphelios,Kindred,Ahri,Rakan,Gwen,Lulu,Braum,Sion,Thresh,Ornn,Blitzcrank,Mid,Bot,Jungle,Support,Top,Bot,Jungle,Mid,Top,Support,MSI,ESPORTSTMNT04_2676181
14,MSI 2023,Bracket Round 3,Gen.G,Bilibili Gaming,0 - 2,2,13.8,Lucian,Maokai,Rakan,K'Sante,Nautilus,Gragas,Annie,Jinx,Vi,Wukong,Aphelios,Ahri,Lulu,Jax,Thresh,Kennen,Braum,Tahm Kench,Ornn,Gwen,Mid,Jungle,Bot,Support,Top,Bot,Jungle,Mid,Support,Top,MSI,ESPORTSTMNT04_2676180
15,MSI 2023,Bracket Round 3,Bilibili Gaming,Gen.G,1 - 0,1,13.8,Ahri,Lucian,K'Sante,Annie,Jinx,Nautilus,Maokai,Xayah,Rakan,Lulu,Zeri,Vi,Jayce,Rumble,Gnar,Kennen,Gragas,Jax,Taliyah,Lissandra,Jungle,Support,Bot,Top,Mid,Bot,Support,Jungle,Top,Mid,MSI,ESPORTSTMNT04_2677157
16,MSI 2023,Bracket Round 2,Cloud9,Gen.G,0 - 3,2,13.8,Vi,Annie,Lulu,Nautilus,Wukong,Maokai,K'Sante,Jinx,Ahri,Lucian,Nami,Thresh,Nidalee,Sion,LeBlanc,Malphite,Kha'Zix,Kennen,Lee Sin,Gragas,Mid,Bot,Support,Top,Jungle,Bot,Mid,Support,Jungle,Top,MSI,ESPORTSTMNT04_2679070
17,MSI 2023,Bracket Round 2,Cloud9,Gen.G,0 - 2,2,13.8,Vi,Annie,Lulu,Nautilus,Ahri,Maokai,K'Sante,Xayah,Rakan,Lucian,Nami,Wukong,Poppy,Malphite,Kennen,Lissandra,Sion,Kha'Zix,LeBlanc,Vex,Top,Bot,Support,Jungle,Mid,Bot,Support,Jungle,Top,Mid,MSI,ESPORTSTMNT04_2677099
18,MSI 2023,Bracket Round 2,Gen.G,Cloud9,1 - 0,1,13.8,Rakan,Vi,K'Sante,Maokai,Annie,Ahri,Nautilus,Aphelios,Lulu,Jinx,Blitzcrank,Sion,Gwen,Sylas,Nidalee,Lee Sin,Syndra,Ornn,Kha'Zix,Poppy,Mid,Bot,Support,Top,Jungle,Bot,Support,Top,Mid,Jungle,MSI,ESPORTSTMNT04_2676104
19,MSI 2023,Bracket Round 2,G2 Esports,Bilibili Gaming,1 - 3,2,13.8,Vi,Nautilus,Kennen,Annie,Lulu,Maokai,Aphelios,Lucian,Nami,Braum,K'Sante,Gwen,Cassiopeia,Ahri,Yasuo,Sion,Viego,Gragas,Jayce,Lissandra,Bot,Support,Mid,Jungle,Top,Bot,Support,Top,Jungle,Mid,MSI,ESPORTSTMNT04_2679035
20,MSI 2023,Bracket Round 2,G2 Esports,Bilibili Gaming,1 - 2,2,13.8,Vi,Cassiopeia,Kennen,Nautilus,Nidalee,Maokai,Annie,Aphelios,Lulu,Jinx,Janna,Ahri,Poppy,Gwen,K'Sante,Gnar,Wukong,Darius,Viego,Jax,Mid,Bot,Support,Top,Jungle,Bot,Support,Mid,Jungle,Top,MSI,ESPORTSTMNT04_2679033
21,MSI 2023,Bracket Round 2,G2 Esports,Bilibili Gaming,1 - 1,1,13.8,Vi,Cassiopeia,Kennen,Nautilus,Nidalee,Annie,Maokai,Aphelios,Lulu,Jinx,Janna,Ahri,Tristana,Gwen,Jayce,Fiora,Sejuani,K'Sante,Syndra,Jax,Jungle,Bot,Support,Top,Mid,Bot,Support,Mid,Jungle,Top,MSI,ESPORTSTMNT04_2677067
22,MSI 2023,Bracket Round 2,G2 Esports,Bilibili Gaming,0 - 1,2,13.8,Vi,Cassiopeia,Kennen,Nautilus,Nidalee,Annie,Maokai,Lulu,Aphelios,Jinx,Blitzcrank,Wukong,Tristana,Gnar,Jayce,Fiora,Sylas,Gragas,Yasuo,K'Sante,Jungle,Bot,Support,Top,Mid,Support,Bot,Jungle,Mid,Top,MSI,ESPORTSTMNT04_2679020
23,MSI 2023,Bracket Round 2,Bilibili Gaming,JD Gaming,0 - 3,2,13.8,Ahri,Annie,Sion,Kennen,Jinx,Rakan,Aphelios,Lulu,Zeri,Nidalee,Nautilus,K'Sante,Blitzcrank,Maokai,Leona,Gragas,Sejuani,Jax,Thresh,Syndra,Bot,Jungle,Mid,Top,Support,Support,Bot,Top,Jungle,Mid,MSI,ESPORTSTMNT04_2676026
24,MSI 2023,Bracket Round 2,Bilibili Gaming,JD Gaming,0 - 2,2,13.8,Sion,Annie,Gragas,Rakan,Thresh,Kennen,Ahri,Maokai,Jinx,Vi,Aphelios,K'Sante,Gwen,Lulu,Blitzcrank,Tahm Kench,Braum,Alistar,Fiora,Renekton,Mid,Jungle,Bot,Support,Top,Jungle,Bot,Mid,Support,Top,MSI,ESPORTSTMNT04_2676000
25,MSI 2023,Bracket Round 2,JD Gaming,Bilibili Gaming,1 - 0,1,13.8,Lucian,Annie,Rakan,Vi,Kennen,Nautilus,Ahri,Lulu,Jinx,Aphelios,Thresh,Lissandra,Wukong,Gwen,K'Sante,Viego,Sion,Ornn,Kha'Zix,Nidalee,Mid,Bot,Support,Top,Jungle,Support,Bot,Mid,Top,Jungle,MSI,ESPORTSTMNT04_2675986
26,MSI 2023,Bracket Round 2,T1,Gen.G,3 - 2,1,13.8,Vi,Lucian,Wukong,Annie,Maokai,Nautilus,K'Sante,Aphelios,Poppy,Xayah,Rakan,Ahri,Lissandra,Thresh,Elise,Lulu,Alistar,Rumble,Gragas,Gwen,Mid,Bot,Support,Jungle,Top,Bot,Jungle,Mid,Support,Top,MSI,ESPORTSTMNT04_2673984
27,MSI 2023,Bracket Round 2,Gen.G,T1,2 - 2,1,13.8,Lucian,Vi,Annie,Maokai,Nautilus,K'Sante,Jinx,Lulu,Ahri,Wukong,Lissandra,Aphelios,Blitzcrank,Poppy,Thresh,Sion,Nocturne,Gragas,Rakan,Ornn,Bot,Jungle,Mid,Top,Support,Support,Mid,Bot,Jungle,Top,MSI,ESPORTSTMNT04_2674968
28,MSI 2023,Bracket Round 2,T1,Gen.G,2 - 1,2,13.8,Vi,Lucian,Ahri,Nautilus,K'Sante,Maokai,Annie,Jinx,Wukong,Aphelios,Lulu,Thresh,Poppy,Lissandra,Nocturne,Malphite,Rumble,Sion,Kha'Zix,Gnar,Mid,Bot,Support,Top,Jungle,Bot,Jungle,Support,Mid,Top,MSI,ESPORTSTMNT04_2674967
29,MSI 2023,Bracket Round 2,Gen.G,T1,0 - 2,2,13.8,Lucian,Vi,Nautilus,Maokai,Lulu,K'Sante,Jinx,Sion,Annie,Gragas,Viego,Aphelios,Ahri,Poppy,Lissandra,Thresh,Nocturne,Tahm Kench,Aurelion Sol,Blitzcrank,Bot,Top,Jungle,Support,Mid,Top,Mid,Bot,Jungle,Support,MSI,ESPORTSTMNT04_2674965
30,MSI 2023,Bracket Round 2,Gen.G,T1,0 - 1,2,13.8,Lucian,Vi,Nautilus,Maokai,Lulu,K'Sante,Ahri,Sion,Jinx,Aphelios,Wukong,Annie,Malphite,Nidalee,Gragas,Thresh,Poppy,Gwen,Rakan,Tahm Kench,Mid,Bot,Jungle,Top,Support,Top,Bot,Mid,Jungle,Support,MSI,ESPORTSTMNT04_2673966
31,MSI 2023,Bracket Round 1,Cloud9,Golden Guardians,3 - 1,1,13.8,Sion,Lulu,Lissandra,LeBlanc,Vi,Annie,K'Sante,Zeri,Maokai,Nidalee,Jayce,Poppy,Jinx,Tristana,Aphelios,Ahri,Rakan,Varus,Heimerdinger,Yasuo,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Top,Support,Mid,MSI,ESPORTSTMNT04_2678015
32,MSI 2023,Bracket Round 1,Cloud9,Golden Guardians,2 - 1,2,13.8,Sion,Maokai,Lissandra,Nidalee,K'Sante,LeBlanc,Vi,Annie,Zeri,Ahri,Jinx,Kha'Zix,Nautilus,Olaf,Lulu,Blitzcrank,Taliyah,Gragas,Tahm Kench,Poppy,Jungle,Mid,Bot,Top,Support,Support,Bot,Jungle,Mid,Top,MSI,ESPORTSTMNT04_2676033
33,MSI 2023,Bracket Round 1,Cloud9,Golden Guardians,2 - 0,1,13.8,Ahri,Maokai,Sion,Nidalee,Vi,K'Sante,Annie,Aphelios,Nautilus,Xayah,Rakan,Lulu,Wukong,Poppy,Nocturne,Olaf,Rumble,Gragas,Kha'Zix,Viego,Mid,Bot,Support,Top,Jungle,Bot,Mid,Support,Top,Jungle,MSI,ESPORTSTMNT04_2678013
34,MSI 2023,Bracket Round 1,Golden Guardians,Cloud9,0 - 1,2,13.8,LeBlanc,Vi,Nidalee,Annie,Sion,Kennen,Maokai,Aphelios,K'Sante,Jinx,Jayce,Lulu,Blitzcrank,Syndra,Thresh,Renekton,Sejuani,Fiora,Nautilus,Sylas,Jungle,Bot,Mid,Top,Support,Bot,Top,Support,Jungle,Mid,MSI,ESPORTSTMNT04_2677008
35,MSI 2023,Bracket Round 1,G2 Esports,MAD Lions,3 - 0,1,13.8,Gragas,Draven,Vi,Olaf,Rakan,Maokai,Nautilus,K'Sante,Aphelios,Jinx,Cassiopeia,Braum,Bel'Veth,Elise,Lulu,Nidalee,Wukong,Janna,Kindred,Ahri,Mid,Bot,Top,Support,Jungle,Top,Bot,Support,Jungle,Mid,MSI,ESPORTSTMNT04_2675968
36,MSI 2023,Bracket Round 1,G2 Esports,MAD Lions,2 - 0,1,13.8,Gragas,Draven,Vi,Olaf,Rakan,Maokai,Nautilus,K'Sante,Aphelios,Jinx,Cassiopeia,Braum,Thresh,Jayce,Kennen,Nidalee,Elise,Lulu,Bel'Veth,Irelia,Mid,Bot,Top,Support,Jungle,Mid,Bot,Support,Jungle,Top,MSI,ESPORTSTMNT04_2675967
37,MSI 2023,Bracket Round 1,MAD Lions,G2 Esports,0 - 1,2,13.8,Draven,Gragas,Olaf,Vi,K'Sante,Rakan,Maokai,Nautilus,Aphelios,Jinx,Jayce,Kha'Zix,Braum,Kennen,Thresh,Sion,Annie,Leona,Gnar,Yasuo,Jungle,Bot,Mid,Support,Top,Support,Bot,Jungle,Mid,Top,MSI,ESPORTSTMNT04_2675959
38,MSI 2023,Bracket Round 1,Golden Guardians,JD Gaming,0 - 3,2,13.8,Nidalee,Maokai,Annie,Ahri,Aphelios,K'Sante,Kennen,Gragas,Rakan,Jinx,Thresh,Xayah,,Syndra,Lee Sin,LeBlanc,Kha'Zix,Rengar,Galio,Nautilus,Top,Bot,Support,Jungle,Mid,Top,Support,Bot,Jungle,Mid,MSI,ESPORTSTMNT04_2675921
39,MSI 2023,Bracket Round 1,Golden Guardians,JD Gaming,0 - 2,2,13.8,Nidalee,Kennen,Annie,Ahri,Aphelios,Maokai,K'Sante,Lulu,Zeri,Tristana,Rell,Wukong,Gragas,Syndra,Elise,Sion,LeBlanc,Vi,Lissandra,Gnar,Top,Bot,Support,Jungle,Mid,Support,Bot,Jungle,Mid,Top,MSI,ESPORTSTMNT04_2675920
40,MSI 2023,Bracket Round 1,JD Gaming,Golden Guardians,1 - 0,1,13.8,K'Sante,Nidalee,Kennen,Annie,Ahri,Vi,Maokai,Aphelios,Sejuani,Jayce,Jinx,Nautilus,Lulu,Sylas,Renata Glasc,Yone,Sion,Gwen,Braum,Jax,Jungle,Mid,Bot,Top,Support,Bot,Jungle,Support,Mid,Top,MSI,ESPORTSTMNT04_2674919
41,MSI 2023,Bracket Round 1,Bilibili Gaming,Cloud9,3 - 0,1,13.8,Maokai,Annie,K'Sante,Nidalee,Varus,Vi,Ahri,Aphelios,Sion,Jinx,Gwen,LeBlanc,Viego,Lulu,Nautilus,Rakan,Lee Sin,Wukong,Alistar,Thresh,Mid,Bot,Top,Jungle,Support,Bot,Top,Mid,Jungle,Support,MSI,ESPORTSTMNT04_2675887
42,MSI 2023,Bracket Round 1,Cloud9,Bilibili Gaming,0 - 2,2,13.8,Annie,K'Sante,Ahri,Nidalee,Nautilus,Maokai,Xayah,Nami,Vi,Rakan,Sion,Lucian,Viego,Gwen,Elise,Gnar,Kennen,Kindred,Galio,Syndra,Bot,Support,Top,Jungle,Mid,Support,Jungle,Bot,Top,Mid,MSI,ESPORTSTMNT04_2675883
43,MSI 2023,Bracket Round 1,Cloud9,Bilibili Gaming,0 - 1,2,13.8,Ahri,K'Sante,Nautilus,Nidalee,Annie,Maokai,Xayah,Nami,Vi,Rakan,Kennen,Lucian,LeBlanc,Sion,Yasuo,Galio,Gnar,Sylas,Nocturne,Taliyah,Bot,Support,Top,Mid,Jungle,Support,Jungle,Bot,Top,Mid,MSI,ESPORTSTMNT04_2673895
44,MSI 2023,Bracket Round 1,MAD Lions,T1,0 - 3,2,13.8,Lucian,Gragas,Nidalee,Rakan,Aphelios,Vi,K'Sante,Maokai,Jinx,Ezreal,Annie,Ahri,Pyke,Lulu,Kennen,Jayce,Tahm Kench,Lee Sin,Twisted Fate,Sion,Top,Bot,Support,Jungle,Mid,Jungle,Bot,Mid,Support,Top,MSI,ESPORTSTMNT04_2673879
45,MSI 2023,Bracket Round 1,MAD Lions,T1,0 - 2,2,13.8,Lucian,Gragas,Nidalee,Rakan,Jayce,Vi,Kennen,K'Sante,Aphelios,Lee Sin,Xayah,Lulu,Pyke,Nautilus,Blitzcrank,Annie,Maokai,Rell,Lissandra,Karma,Top,Jungle,Bot,Support,Mid,Mid,Bot,Support,Jungle,Top,MSI,ESPORTSTMNT04_2674867
46,MSI 2023,Bracket Round 1,MAD Lions,T1,0 - 1,2,13.8,Lucian,Gragas,Nidalee,Rakan,Jayce,Vi,Kennen,K'Sante,Aphelios,Annie,Lee Sin,Lulu,Blitzcrank,Elise,Ahri,Lissandra,Nautilus,Xayah,Pyke,Kha'Zix,Top,Mid,Jungle,Bot,Support,Top,Bot,Support,Mid,Jungle,MSI,ESPORTSTMNT04_2674856
47,MSI 2023,Bracket Round 1,Gen.G,G2 Esports,3 - 1,1,13.8,Nautilus,Vi,Olaf,Aphelios,Rakan,Maokai,K'Sante,Kennen,Poppy,Elise,Jinx,Draven,Malphite,Annie,Blitzcrank,Thresh,Soraka,Lulu,Tristana,Aurelion Sol,Top,Jungle,Bot,Support,Mid,Top,Jungle,Bot,Support,Mid,MSI,ESPORTSTMNT04_2675809
48,MSI 2023,Bracket Round 1,G2 Esports,Gen.G,1 - 2,1,13.8,Vi,Nautilus,Aphelios,Draven,Maokai,Olaf,Kennen,K'Sante,Nidalee,Xayah,Rakan,Zeri,Kha'Zix,Lulu,Viego,Jayce,Rell,Poppy,Annie,Malphite,Top,Bot,Support,Jungle,Mid,Mid,Jungle,Bot,Support,Top,MSI,ESPORTSTMNT04_2674828
49,MSI 2023,Bracket Round 1,G2 Esports,Gen.G,0 - 2,2,13.8,K'Sante,Nautilus,Vi,Draven,Nidalee,Olaf,Kennen,Tristana,Maokai,Annie,Viego,Aphelios,Sylas,Gragas,Rakan,Sion,Lissandra,Jinx,Thresh,Blitzcrank,Top,Mid,Jungle,Bot,Support,Top,Jungle,Bot,Mid,Support,MSI,ESPORTSTMNT04_2674827
50,MSI 2023,Bracket Round 1,Gen.G,G2 Esports,1 - 0,1,13.8,Nautilus,Annie,Olaf,K'Sante,Rakan,Kennen,Aphelios,Draven,Nidalee,Vi,Ahri,Lissandra,Gnar,Thresh,Jayce,Poppy,Darius,Leona,Fiora,Braum,Bot,Jungle,Mid,Support,Top,Bot,Jungle,Mid,Top,Support,MSI,ESPORTSTMNT04_2673828
51,MSI 2023,Last Chance Qualifier,PSG Talon,Golden Guardians,0 - 3,2,13.8,Rakan,Aphelios,Viego,Ezreal,Ahri,Kennen,Vi,K'Sante,Annie,Jinx,Thresh,Zeri,Taliyah,Gragas,Galio,Poppy,Maokai,Syndra,Gnar,Ornn,Jungle,Bot,Support,Mid,Top,Mid,Support,Bot,Jungle,Top,MSI,ESPORTSTMNT04_2675730
52,MSI 2023,Last Chance Qualifier,PSG Talon,Golden Guardians,0 - 2,2,13.8,Rakan,Aphelios,LeBlanc,Ezreal,Ahri,Kennen,Lucian,Vi,Annie,Nami,Sejuani,Zeri,Tristana,Lulu,K'Sante,Sylas,Poppy,Taliyah,Gnar,Lissandra,Bot,Support,Jungle,Mid,Top,Jungle,Support,Bot,Top,Mid,MSI,ESPORTSTMNT04_2675729
53,MSI 2023,Last Chance Qualifier,Golden Guardians,PSG Talon,1 - 0,1,13.8,Aphelios,Rakan,Annie,Lucian,Vi,LeBlanc,Kennen,K'Sante,Ezreal,Viego,Ahri,Karma,Nautilus,Kindred,Varus,Galio,Lissandra,Kai'Sa,Sett,Kha'Zix,Top,Jungle,Mid,Bot,Support,Top,Bot,Support,Mid,Jungle,MSI,ESPORTSTMNT04_2675712
54,MSI 2023,Play-In Day 5,LOUD,PSG Talon,0 - 2,2,13.8,Lucian,Olaf,Vi,Maokai,Kennen,Xayah,Nautilus,Aphelios,Thresh,Viego,Zeri,K'Sante,Gnar,Syndra,Jax,Sylas,Kindred,Malphite,Annie,Galio,Support,Jungle,Bot,Top,Mid,Bot,Support,Top,Jungle,Mid,MSI,ESPORTSTMNT04_2674687
55,MSI 2023,Play-In Day 5,PSG Talon,LOUD,1 - 0,1,13.8,Olaf,Lucian,Maokai,Vi,Xayah,Nautilus,Aphelios,Zeri,Wukong,Kennen,Thresh,Rakan,Viego,Ahri,Kindred,Malphite,Ryze,Tristana,Sejuani,Cassiopeia,Bot,Top,Support,Mid,Jungle,Bot,Jungle,Support,Top,Mid,MSI,ESPORTSTMNT04_2674680
56,MSI 2023,Play-In Day 5,Golden Guardians,Movistar R7,2 - 0,1,13.8,Draven,Rumble,Sylas,Kennen,Xayah,Vi,K'Sante,Aphelios,Maokai,Lucian,Nami,Lulu,Nidalee,Olaf,Gragas,Gwen,Jayce,Nocturne,Taliyah,Malphite,Top,Bot,Support,Jungle,Mid,Bot,Jungle,Support,Mid,Top,MSI,ESPORTSTMNT04_2673677
57,MSI 2023,Play-In Day 5,Golden Guardians,Movistar R7,1 - 0,1,13.8,Draven,Poppy,Sylas,Rumble,Xayah,Tristana,Vi,Zeri,Rakan,Ahri,Kennen,Lissandra,Jinx,K'Sante,Lucian,Kindred,Wukong,Aphelios,Annie,Malphite,Jungle,Mid,Top,Bot,Support,Bot,Support,Mid,Jungle,Top,MSI,ESPORTSTMNT04_2675660
58,MSI 2023,Play-In Day 4,DetonatioN FocusMe,LOUD,0 - 2,2,13.8,Lucian,Varus,Olaf,Vi,Nautilus,Rakan,Gragas,Aphelios,Maokai,Jinx,Viego,Thresh,Blitzcrank,Aatrox,Lulu,Swain,Gnar,Leona,Sylas,Cassiopeia,Top,Bot,Jungle,Support,Mid,Bot,Jungle,Support,Top,Mid,MSI,ESPORTSTMNT04_2674620
59,MSI 2023,Play-In Day 4,LOUD,DetonatioN FocusMe,1 - 0,1,13.8,Varus,Lucian,Vi,Olaf,Rakan,Nautilus,Maokai,Ahri,Jinx,Aphelios,Gnar,Lulu,Tahm Kench,Malphite,Thresh,Wukong,Sion,Swain,Leona,Nidalee,Jungle,Bot,Top,Mid,Support,Mid,Bot,Support,Top,Jungle,MSI,ESPORTSTMNT04_2673610
60,MSI 2023,Play-In Day 4,GAM Esports,Movistar R7,1 - 2,2,13.8,Aurelion Sol,Kennen,Draven,Jinx,Vi,Nautilus,Zeri,Xayah,Rakan,Kindred,Lissandra,Sylas,Renata Glasc,K'Sante,Lulu,Wukong,Poppy,Jax,Braum,Gragas,Bot,Jungle,Mid,Top,Support,Bot,Support,Mid,Jungle,Top,MSI,ESPORTSTMNT04_2675614
61,MSI 2023,Play-In Day 4,GAM Esports,Movistar R7,1 - 1,1,13.8,Aurelion Sol,Kennen,Draven,Jinx,Vi,Nautilus,Zeri,Xayah,Viego,Wukong,Rakan,K'Sante,Fiora,Renata Glasc,Olaf,Sylas,Leona,Lissandra,Gwen,Taliyah,Bot,Jungle,Support,Mid,Top,Bot,Jungle,Top,Support,Mid,MSI,ESPORTSTMNT04_2675612
62,MSI 2023,Play-In Day 4,GAM Esports,Movistar R7,0 - 1,2,13.8,Aurelion Sol,Kennen,Draven,Jinx,Vi,Nautilus,Zeri,Xayah,Viego,Wukong,Rakan,Leona,Fiora,Poppy,Gwen,Olaf,K'Sante,Jax,Lissandra,Sylas,Bot,Jungle,Support,Top,Mid,Bot,Jungle,Support,Top,Mid,MSI,ESPORTSTMNT04_2674592
63,MSI 2023,Play-In Day 3,PSG Talon,G2 Esports,0 - 2,2,13.8,Draven,Lucian,Nautilus,Annie,Rakan,Kennen,Vi,Viego,Jinx,Aphelios,Ahri,Lissandra,Blitzcrank,Darius,Renata Glasc,Thresh,Lulu,Leona,K'Sante,Olaf,Jungle,Bot,Mid,Support,Top,Jungle,Bot,Mid,Support,Top,MSI,ESPORTSTMNT04_2675572
64,MSI 2023,Play-In Day 3,G2 Esports,PSG Talon,1 - 0,1,13.8,Vi,Draven,K'Sante,Nautilus,Poppy,Darius,Kennen,Annie,Lucian,Xayah,Rakan,Nami,Nocturne,Kindred,Bel'Veth,Sion,Viego,Kha'Zix,Gragas,Malphite,Top,Bot,Support,Jungle,Mid,Mid,Bot,Support,Jungle,Top,MSI,ESPORTSTMNT04_2675563
65,MSI 2023,Play-In Day 3,Bilibili Gaming,Golden Guardians,2 - 1,1,13.8,Rumble,Kennen,Yasuo,Annie,Viego,Lucian,Vi,Jinx,Poppy,Xayah,Rakan,Morgana,Gwen,K'Sante,Lissandra,Ahri,LeBlanc,Syndra,Sion,Jarvan IV,Jungle,Bot,Support,Mid,Top,Bot,Top,Support,Mid,Jungle,MSI,ESPORTSTMNT04_2674560
66,MSI 2023,Play-In Day 3,Bilibili Gaming,Golden Guardians,1 - 1,2,13.8,Poppy,Kennen,Rumble,Annie,Viego,Lucian,Vi,Xayah,Rakan,Jinx,Lulu,K'Sante,Fiora,Kindred,Renekton,Maokai,Gragas,Ahri,Gnar,Yasuo,Jungle,Bot,Support,Mid,Top,Bot,Support,Top,Jungle,Mid,MSI,ESPORTSTMNT04_2674557
