Unnamed: 0,League,Phase,Blue,Red,Score,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,league_code,gameid,Winner,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
0,2024_Mid-Season_Invitational,Finals,Gen.G,Bilibili Gaming,3 - 1,14.8,Taliyah,Corki,Ahri,Aurelion Sol,Lucian,K'Sante,Senna,Nautilus,Nidalee,Maokai,Lee Sin,Tristana,Hwei,Kalista,Zac,Varus,Zeri,Rumble,Azir,Camille,MSI,11061-11061_game_4,1,Bot,Support,Jungle,Top,Mid,Support,Jungle,Mid,Bot,Top
1,2024_Mid-Season_Invitational,Finals,Bilibili Gaming,Gen.G,1 - 2,14.8,Aurelion Sol,Taliyah,Corki,Ahri,Lucian,Nautilus,Senna,Kalista,Ashe,Tahm Kench,Nidalee,Lee Sin,Camille,K'Sante,Tristana,No_ban,Hwei,Jayce,Jax,Rumble,MSI,11061-11061_game_3,1,Bot,Support,Jungle,Mid,Top,Bot,Support,Jungle,Mid,Top
2,2024_Mid-Season_Invitational,Finals,Bilibili Gaming,Gen.G,0 - 2,14.8,Corki,Taliyah,Aurelion Sol,Ahri,K'Sante,Nautilus,Ashe,Kalista,Sejuani,Varus,Xin Zhao,Yone,LeBlanc,Rumble,Annie,Jax,Blitzcrank,Orianna,Camille,Zac,MSI,11061-11061_game_2,2,Support,Bot,Jungle,Mid,Top,Bot,Jungle,Mid,Support,Top
3,2024_Mid-Season_Invitational,Finals,Gen.G,Bilibili Gaming,1 - 0,14.8,Taliyah,Aurelion Sol,Ahri,Corki,Vayne,Nautilus,Senna,Lucian,Nami,Tahm Kench,K'Sante,Twisted Fate,Nidalee,Sejuani,Hwei,Maokai,Xin Zhao,Karthus,Yone,Neeko,MSI,11061-11061_game_1,1,Bot,Support,Top,Jungle,Mid,Bot,Support,Top,Jungle,Mid
4,2024_Mid-Season_Invitational,Bracket Round 4,Bilibili Gaming,T1,3 - 2,14.8,Azir,Ahri,Orianna,Renata Glasc,Ashe,Lucian,Senna,Taliyah,Nautilus,Ornn,Neeko,Varus,Vi,Nidalee,Kindred,Jax,Viego,Xin Zhao,Camille,K'Sante,MSI,11060-11060_game_5,1,Bot,Support,Mid,Jungle,Top,Mid,Support,Bot,Jungle,Top
5,2024_Mid-Season_Invitational,Bracket Round 4,T1,Bilibili Gaming,2 - 2,14.8,Ahri,Azir,Taliyah,Orianna,Kalista,Ashe,Senna,Nautilus,Varus,Ornn,Viego,Twisted Fate,Jax,Tristana,Camille,Nidalee,Vi,Aurelion Sol,K'Sante,Corki,MSI,11060-11060_game_4,1,Bot,Support,Jungle,Mid,Top,Support,Bot,Top,Jungle,Mid
6,2024_Mid-Season_Invitational,Bracket Round 4,Bilibili Gaming,T1,2 - 1,14.8,Azir,Ahri,Orianna,Tristana,Ashe,Taliyah,Senna,Nautilus,Nidalee,Ornn,Twisted Fate,Kalista,Vi,Jax,Neeko,Camille,Yasuo,Xin Zhao,Annie,Zac,MSI,11060-11060_game_3,1,Bot,Support,Top,Jungle,Mid,Support,Jungle,Bot,Top,Mid
7,2024_Mid-Season_Invitational,Bracket Round 4,T1,Bilibili Gaming,1 - 1,14.8,Ahri,Azir,Taliyah,Orianna,Tristana,Senna,Ashe,Kalista,Varus,Draven,Sejuani,Neeko,LeBlanc,Vi,Twisted Fate,Vayne,K'Sante,Camille,Akali,Wukong,MSI,11060-11060_game_2,1,Support,Bot,Jungle,Top,Mid,Support,Bot,Mid,Top,Jungle
8,2024_Mid-Season_Invitational,Bracket Round 4,Bilibili Gaming,T1,1 - 0,14.8,Azir,Ahri,Orianna,Vi,Ashe,Jax,Taliyah,Senna,Nautilus,Kalista,Renata Glasc,K'Sante,Vayne,Nidalee,Camille,Corki,Sejuani,Xin Zhao,Twisted Fate,Tristana,MSI,11060-11060_game_1,1,Mid,Bot,Support,Jungle,Top,Bot,Support,Top,Jungle,Mid
9,2024_Mid-Season_Invitational,Bracket Round 4,Bilibili Gaming,Gen.G,1 - 3,14.8,Aurelion Sol,Taliyah,Nautilus,Ahri,Senna,Ashe,Kalista,Lucian,Corki,Vi,Renata Glasc,Nami,Orianna,Sejuani,Neeko,Poppy,Maokai,K'Sante,Vex,Twisted Fate,MSI,11058-11058_game_4,2,Bot,Jungle,Support,Top,Mid,Bot,Mid,Support,Jungle,Top
10,2024_Mid-Season_Invitational,Bracket Round 4,Bilibili Gaming,Gen.G,1 - 2,14.8,Aurelion Sol,Taliyah,Corki,Ahri,Azir,Ashe,Senna,Nautilus,Kalista,Tahm Kench,Tristana,Hwei,Maokai,Lee Sin,Vayne,Twisted Fate,Nidalee,K'Sante,Diana,Poppy,MSI,11058-11058_game_3,2,Bot,Support,Mid,Top,Jungle,Support,Bot,Mid,Jungle,Top
11,2024_Mid-Season_Invitational,Bracket Round 4,Gen.G,Bilibili Gaming,1 - 1,14.8,Taliyah,Aurelion Sol,Vayne,Corki,Ahri,Azir,Senna,Kalista,Ashe,Nautilus,K'Sante,Sejuani,Tristana,Camille,Hwei,Renekton,Orianna,Yone,Nidalee,Jax,MSI,11058-11058_game_2,1,Bot,Support,Top,Mid,Jungle,Bot,Support,Jungle,Mid,Top
12,2024_Mid-Season_Invitational,Bracket Round 4,Gen.G,Bilibili Gaming,0 - 1,14.8,Taliyah,Aurelion Sol,Vayne,Corki,Jax,Azir,Senna,Kalista,Ahri,Nautilus,Twisted Fate,Ashe,Tristana,Vi,Lee Sin,Jarvan IV,Sejuani,Viego,Orianna,Camille,MSI,11058-11058_game_1,2,Bot,Support,Top,Jungle,Mid,Bot,Mid,Support,Jungle,Top
13,2024_Mid-Season_Invitational,Bracket Round 3,G2 Esports,T1,0 - 3,14.8,Senna,Rek'Sai,Ashe,Zac,Azir,Poppy,Tristana,Kalista,Taliyah,Ivern,Varus,Vi,Renata Glasc,Vayne,K'Sante,Camille,Nautilus,Braum,Jax,Rumble,MSI,11059-11059_game_3,2,Mid,Jungle,Bot,Support,Top,Bot,Mid,Jungle,Support,Top
14,2024_Mid-Season_Invitational,Bracket Round 3,G2 Esports,T1,0 - 2,14.8,Senna,Rek'Sai,Ashe,Zac,Renata Glasc,Tristana,Draven,Poppy,Varus,Viego,Nautilus,Azir,Taliyah,Vayne,Orianna,Twisted Fate,K'Sante,Aurelion Sol,Urgot,Alistar,MSI,11059-11059_game_2,2,Bot,Jungle,Support,Mid,Top,Jungle,Bot,Mid,Top,Support
15,2024_Mid-Season_Invitational,Bracket Round 3,T1,G2 Esports,1 - 0,14.8,Rek'Sai,Senna,Zac,Ashe,Tristana,Lucian,Orianna,Draven,Poppy,Kalista,Renata Glasc,LeBlanc,K'Sante,Nidalee,Xin Zhao,Lee Sin,Kha'Zix,Sejuani,Camille,Jax,MSI,11059-11059_game_1,1,Mid,Bot,Support,Jungle,Top,Bot,Support,Mid,Jungle,Top
16,2024_Mid-Season_Invitational,Bracket Round 2,T1,Team Liquid,3 - 1,14.8,Tristana,Azir,Lucian,Taliyah,Nautilus,Ashe,Orianna,Kalista,Ziggs,Senna,Ornn,Rell,Twisted Fate,Xin Zhao,Camille,Vi,K'Sante,Vayne,Poppy,Lillia,MSI,11057-11057_game_4,1,Mid,Bot,Support,Top,Jungle,Bot,Mid,Support,Top,Jungle
17,2024_Mid-Season_Invitational,Bracket Round 2,Team Liquid,T1,1 - 2,14.8,Azir,Lucian,Orianna,Tristana,Ashe,Senna,Taliyah,Varus,Sejuani,Kalista,Nautilus,Corki,Vi,Twisted Fate,Poppy,Alistar,Rell,K'Sante,Rek'Sai,Vayne,MSI,11057-11057_game_3,1,Mid,Bot,Support,Top,Jungle,Bot,Jungle,Mid,Support,Top
18,2024_Mid-Season_Invitational,Bracket Round 2,Team Liquid,T1,0 - 2,14.8,Azir,Lucian,Orianna,Tristana,Ashe,Senna,Taliyah,Kalista,Varus,Nautilus,K'Sante,Ahri,Sejuani,Twisted Fate,Poppy,Vi,Jarvan IV,Lee Sin,Samira,Vayne,MSI,11057-11057_game_2,2,Mid,Support,Top,Jungle,Bot,Support,Bot,Mid,Jungle,Top
19,2024_Mid-Season_Invitational,Bracket Round 2,T1,Team Liquid,1 - 0,14.8,Tristana,Azir,Nautilus,Orianna,Lucian,Ashe,Taliyah,Aurelion Sol,Kalista,Senna,Ornn,K'Sante,Twisted Fate,Renata Glasc,Vayne,Rell,Xin Zhao,Camille,Poppy,Alistar,MSI,11057-11057_game_1,1,Mid,Bot,Support,Top,Jungle,Mid,Bot,Top,Jungle,Support
20,2024_Mid-Season_Invitational,Bracket Round 2,G2 Esports,Top Esports,3 - 0,14.8,Senna,Zac,Ashe,Poppy,Lucian,Orianna,Tristana,Kalista,Corki,Draven,Neeko,Camille,Jax,Xin Zhao,Volibear,Twisted Fate,Rek'Sai,Ivern,K'Sante,Udyr,MSI,11056-11056_game_3,1,Mid,Bot,Support,Jungle,Top,Bot,Mid,Support,Jungle,Top
21,2024_Mid-Season_Invitational,Bracket Round 2,Top Esports,G2 Esports,0 - 2,14.8,Zac,Senna,Kalista,Varus,Poppy,Ashe,Draven,Kog'Maw,Braum,Corki,Jarvan IV,Tristana,Rumble,Ivern,Thresh,Vayne,Rek'Sai,K'Sante,Renata Glasc,Twisted Fate,MSI,11056-11056_game_2,2,Bot,Mid,Jungle,Top,Support,Bot,Support,Mid,Jungle,Top
22,2024_Mid-Season_Invitational,Bracket Round 2,Top Esports,G2 Esports,0 - 1,14.8,Zac,Senna,Poppy,Ashe,Orianna,Rumble,Varus,Kalista,Tristana,Azir,Xin Zhao,Leona,Braum,Lillia,Renata Glasc,Vayne,Ivern,Nautilus,K'Sante,Camille,MSI,11056-11056_game_1,2,Bot,Mid,Jungle,Support,Top,Bot,Mid,Support,Jungle,Top
23,2024_Mid-Season_Invitational,Bracket Round 2,T1,Bilibili Gaming,1 - 3,14.8,Ahri,Azir,Vi,Orianna,Varus,Taliyah,Kalista,Senna,Nautilus,Renata Glasc,Xin Zhao,Tristana,Aurelion Sol,Maokai,Hwei,Sejuani,Nidalee,Akali,Zac,K'Sante,MSI,11055-11055_game_4,2,Bot,Support,Jungle,Mid,Top,Bot,Support,Mid,Jungle,Top
24,2024_Mid-Season_Invitational,Bracket Round 2,Bilibili Gaming,T1,2 - 1,14.8,Azir,Vi,Orianna,Ahri,Ashe,Nautilus,Taliyah,Senna,Tahm Kench,Lucian,Nami,Twisted Fate,Sejuani,Xin Zhao,Jarvan IV,Aurelion Sol,Lee Sin,Jax,Maokai,Veigar,MSI,11055-11055_game_3,1,Mid,Bot,Support,Top,Jungle,Bot,Support,Top,Jungle,Mid
25,2024_Mid-Season_Invitational,Bracket Round 2,Bilibili Gaming,T1,1 - 1,14.8,Azir,Vi,Orianna,Ahri,Ashe,Nautilus,Kalista,Taliyah,Senna,Renata Glasc,K'Sante,Tahm Kench,Neeko,Twisted Fate,Tristana,Vayne,Xin Zhao,Corki,Wukong,Zac,MSI,11055-11055_game_2,2,Bot,Support,Top,Mid,Jungle,Mid,Bot,Support,Jungle,Top
26,2024_Mid-Season_Invitational,Bracket Round 2,Bilibili Gaming,T1,1 - 0,14.8,Azir,Vi,Orianna,Ahri,Ashe,Nautilus,Kalista,Senna,Tahm Kench,Renata Glasc,Taliyah,Corki,Jarvan IV,Twisted Fate,Wukong,Xin Zhao,K'Sante,Sejuani,Vayne,Viego,MSI,11055-11055_game_1,1,Bot,Support,Mid,Jungle,Top,Bot,Support,Mid,Top,Jungle
27,2024_Mid-Season_Invitational,Bracket Round 2,Gen.G,Top Esports,3 - 2,14.8,Tristana,Aurelion Sol,Varus,Senna,Draven,Twisted Fate,Corki,Lucian,Nami,Kalista,Ashe,Sejuani,Lee Sin,Sylas,Poppy,Yone,Akali,K'Sante,Nidalee,Urgot,MSI,11053-11053_game_5,1,Mid,Bot,Support,Top,Jungle,Bot,Support,Jungle,Mid,Top
28,2024_Mid-Season_Invitational,Bracket Round 2,Gen.G,Top Esports,2 - 2,14.8,Xin Zhao,Aurelion Sol,Tristana,Senna,Varus,Twisted Fate,Kalista,Corki,Draven,Vi,K'Sante,Sejuani,Taliyah,Renekton,Ahri,Renata Glasc,Urgot,Alistar,Azir,Ashe,MSI,11053-11053_game_4,2,Bot,Jungle,Top,Support,Mid,Mid,Bot,Jungle,Top,Support
29,2024_Mid-Season_Invitational,Bracket Round 2,Top Esports,Gen.G,1 - 2,14.8,Aurelion Sol,Senna,Twisted Fate,Xin Zhao,Lucian,Ahri,Varus,Kalista,Corki,Maokai,Tristana,Nautilus,Renata Glasc,Sejuani,Ashe,K'Sante,Jarvan IV,Rumble,Alistar,Ryze,MSI,11053-11053_game_3,1,Bot,Jungle,Mid,Top,Support,Bot,Mid,Support,Jungle,Top
30,2024_Mid-Season_Invitational,Bracket Round 2,Top Esports,Gen.G,0 - 2,14.8,Aurelion Sol,Senna,Corki,Xin Zhao,Kalista,Varus,Lucian,Aphelios,Lulu,Nami,Sejuani,Azir,Tristana,Vi,Hwei,K'Sante,Lee Sin,Ahri,Renekton,Twisted Fate,MSI,11053-11053_game_2,2,Bot,Support,Jungle,Mid,Top,Bot,Support,Mid,Jungle,Top
31,2024_Mid-Season_Invitational,Bracket Round 2,Gen.G,Top Esports,1 - 0,14.8,Xin Zhao,Aurelion Sol,Ahri,Senna,Lucian,Twisted Fate,Kalista,K'Sante,Draven,Corki,Vi,Nautilus,Renata Glasc,Poppy,Zac,Tristana,Viego,Alistar,Vayne,Akali,MSI,11053-11053_game_1,1,Bot,Mid,Jungle,Support,Top,Top,Bot,Support,Jungle,Mid
32,2024_Mid-Season_Invitational,Bracket Round 1,TALON,G2 Esports,0 - 3,14.8,Rek'Sai,Ashe,Zac,Vi,Draven,Senna,Kalista,Varus,Poppy,Xin Zhao,Rumble,Orianna,Azir,Twisted Fate,Tristana,Jarvan IV,Jax,Aurelion Sol,K'Sante,Vayne,MSI,11054-11054_game_3,2,Bot,Jungle,Support,Mid,Top,Bot,Support,Mid,Jungle,Top
33,2024_Mid-Season_Invitational,Bracket Round 1,G2 Esports,TALON,2 - 0,14.8,Senna,Rek'Sai,Ashe,Orianna,Lucian,Zac,Kalista,Varus,Vi,Jarvan IV,Poppy,Taliyah,Ahri,Rumble,Tristana,Renata Glasc,Nautilus,Twisted Fate,LeBlanc,Jax,MSI,11054-11054_game_2,1,Bot,Jungle,Support,Top,Mid,Bot,Jungle,Mid,Support,Top
34,2024_Mid-Season_Invitational,Bracket Round 1,G2 Esports,TALON,1 - 0,14.8,Senna,Rek'Sai,Ashe,Orianna,Lucian,Draven,Kalista,Varus,Vi,Jarvan IV,Poppy,Taliyah,Ahri,Rumble,LeBlanc,Renata Glasc,Nautilus,Zac,Tristana,K'Sante,MSI,11054-11054_game_1,1,Bot,Jungle,Support,Top,Mid,Bot,Jungle,Mid,Support,Top
35,2024_Mid-Season_Invitational,Bracket Round 1,Fnatic,Team Liquid,1 - 3,14.8,Aurelion Sol,LeBlanc,Taliyah,Vi,Twisted Fate,Camille,K'Sante,Lucian,Nami,Ashe,Varus,Sejuani,Xin Zhao,Ziggs,Azir,Zac,Ornn,Orianna,Viego,Tristana,MSI,11052-11052_game_4,2,Top,Support,Bot,Mid,Jungle,Bot,Support,Jungle,Top,Mid
36,2024_Mid-Season_Invitational,Bracket Round 1,Team Liquid,Fnatic,2 - 1,14.8,LeBlanc,Lucian,Vi,Nautilus,Camille,Taliyah,Ashe,Kalista,Rumble,Varus,K'Sante,Zac,Sejuani,Xin Zhao,Volibear,Viego,Wukong,Poppy,Aurelion Sol,Hwei,MSI,11052-11052_game_3,1,Support,Bot,Top,Jungle,Mid,Bot,Support,Top,Jungle,Mid
37,2024_Mid-Season_Invitational,Bracket Round 1,Fnatic,Team Liquid,1 - 1,14.8,Nautilus,LeBlanc,Aurelion Sol,Vi,Taliyah,Ashe,Lucian,Varus,Rell,Nami,Xin Zhao,K'Sante,Camille,Ziggs,Twisted Fate,Rek'Sai,Lee Sin,Poppy,Azir,Ahri,MSI,11052-11052_game_2,1,Bot,Support,Jungle,Top,Mid,Bot,Support,Top,Jungle,Mid
38,2024_Mid-Season_Invitational,Bracket Round 1,Fnatic,Team Liquid,0 - 1,14.8,Nautilus,Vi,Aurelion Sol,LeBlanc,Varus,Ashe,Kalista,Lucian,Taliyah,Renata Glasc,Xin Zhao,Nami,Camille,Volibear,Twisted Fate,Jax,K'Sante,Zac,Orianna,Sejuani,MSI,11052-11052_game_1,2,Bot,Support,Jungle,Top,Mid,Bot,Mid,Support,Top,Jungle
39,2024_Mid-Season_Invitational,Bracket Round 1,G2 Esports,T1,2 - 3,14.8,Senna,Draven,Ashe,Lucian,Azir,Orianna,Taliyah,Kalista,Varus,Jinx,Zac,Ahri,Nautilus,Jarvan IV,Rek'Sai,Vi,Lee Sin,Bel'Veth,Poppy,K'Sante,MSI,11051-11051_game_5,2,Mid,Bot,Top,Jungle,Support,Support,Bot,Mid,Jungle,Top
40,2024_Mid-Season_Invitational,Bracket Round 1,T1,G2 Esports,2 - 2,14.8,Draven,Senna,Zac,Lucian,Kalista,Ashe,Varus,Orianna,Rek'Sai,Azir,Xin Zhao,Kog'Maw,Rumble,Twisted Fate,Blitzcrank,Lulu,Renata Glasc,K'Sante,Bard,Poppy,MSI,11051-11051_game_4,1,Bot,Mid,Jungle,Top,Support,Mid,Jungle,Bot,Support,Top
41,2024_Mid-Season_Invitational,Bracket Round 1,T1,G2 Esports,1 - 2,14.8,Draven,Senna,Zac,Lucian,Rek'Sai,Ashe,Kalista,Varus,Orianna,Aurelion Sol,Jarvan IV,Poppy,Rumble,Bel'Veth,Renata Glasc,Nautilus,Vi,Twisted Fate,Camille,Yasuo,MSI,11051-11051_game_3,2,Bot,Mid,Jungle,Top,Support,Bot,Mid,Support,Jungle,Top
42,2024_Mid-Season_Invitational,Bracket Round 1,G2 Esports,T1,1 - 1,14.8,Senna,Draven,Ashe,Lucian,Rumble,Nautilus,Kalista,Varus,Neeko,Rek'Sai,Zac,Taliyah,Camille,Vayne,Rell,Poppy,Viego,Orianna,Leona,Ornn,MSI,11051-11051_game_2,1,Bot,Jungle,Top,Mid,Support,Bot,Support,Mid,Jungle,Top
43,2024_Mid-Season_Invitational,Bracket Round 1,G2 Esports,T1,0 - 1,14.8,Senna,Draven,Ashe,Lucian,Rumble,Neeko,Kalista,Varus,Xin Zhao,Lillia,Tristana,Twisted Fate,Zac,Renata Glasc,Nautilus,Taliyah,Azir,Yasuo,Rell,Alistar,MSI,11051-11051_game_1,2,Bot,Jungle,Mid,Top,Support,Bot,Jungle,Top,Mid,Support
44,2024_Mid-Season_Invitational,Bracket Round 1,Bilibili Gaming,TALON,3 - 2,14.8,Nautilus,Ahri,Taliyah,Kalista,Vi,Renata Glasc,Varus,Senna,Tahm Kench,Ashe,K'Sante,Azir,Aurelion Sol,Xin Zhao,Corki,Rumble,Viego,Kindred,Neeko,Udyr,MSI,11050-11050_game_5,1,Bot,Support,Top,Jungle,Mid,Bot,Support,Mid,Jungle,Top
45,2024_Mid-Season_Invitational,Bracket Round 1,TALON,Bilibili Gaming,2 - 2,14.8,Ahri,Rumble,Lucian,Senna,Varus,Kalista,Taliyah,Vi,Xayah,Sejuani,K'Sante,Rakan,Nautilus,Twisted Fate,Zeri,Orianna,Azir,Ezreal,Ashe,Vayne,MSI,11050-11050_game_4,1,Mid,Jungle,Top,Bot,Support,Jungle,Bot,Support,Mid,Top
46,2024_Mid-Season_Invitational,Bracket Round 1,Bilibili Gaming,TALON,2 - 1,14.8,Rumble,Ashe,Nautilus,Ahri,Senna,Kalista,Lucian,Zeri,Vi,Nami,Taliyah,Lulu,Sejuani,Azir,Xin Zhao,Aurelion Sol,Neeko,Wukong,K'Sante,Urgot,MSI,11050-11050_game_3,1,Bot,Support,Mid,Jungle,Top,Bot,Jungle,Support,Mid,Top
47,2024_Mid-Season_Invitational,Bracket Round 1,Bilibili Gaming,TALON,1 - 1,14.8,Rumble,Ashe,Nautilus,Vi,Senna,Ahri,Kalista,Lucian,Nami,Renata Glasc,Renekton,K'Sante,Xin Zhao,Taliyah,Wukong,Azir,Maokai,Jarvan IV,Orianna,Aurelion Sol,MSI,11050-11050_game_2,2,Bot,Support,Top,Jungle,Mid,Bot,Support,Top,Jungle,Mid
48,2024_Mid-Season_Invitational,Bracket Round 1,Bilibili Gaming,TALON,1 - 0,14.8,Rumble,Ashe,Nautilus,Vi,Senna,Renekton,Kalista,Lucian,Nami,Renata Glasc,Ahri,Taliyah,Xin Zhao,Twisted Fate,Wukong,Sejuani,Maokai,Jarvan IV,K'Sante,Urgot,MSI,11050-11050_game_1,1,Bot,Support,Mid,Jungle,Top,Bot,Support,Mid,Jungle,Top
49,2024_Mid-Season_Invitational,Bracket Round 1,Fnatic,Gen.G,0 - 3,14.8,Rumble,Vi,K'Sante,Kalista,Nautilus,Senna,Varus,Lucian,Nami,Ashe,Sion,Sejuani,Orianna,Corki,Taliyah,Tristana,Vayne,LeBlanc,Xin Zhao,Aurelion Sol,MSI,11049-11049_game_3,2,Bot,Support,Top,Mid,Jungle,Bot,Support,Jungle,Top,Mid
50,2024_Mid-Season_Invitational,Bracket Round 1,Fnatic,Gen.G,0 - 2,14.8,Rumble,Vi,Senna,Kalista,Lulu,Varus,Lucian,Nami,Draven,Xin Zhao,Milio,K'Sante,Zac,LeBlanc,Twisted Fate,Sejuani,Kha'Zix,Orianna,Poppy,Aurelion Sol,MSI,11049-11049_game_2,2,Bot,Jungle,Support,Mid,Top,Support,Bot,Top,Jungle,Mid
51,2024_Mid-Season_Invitational,Bracket Round 1,Gen.G,Fnatic,1 - 0,14.8,Vi,Lucian,Orianna,Senna,Zac,Nautilus,Kalista,Varus,Ashe,Rumble,Sejuani,Taliyah,LeBlanc,Xin Zhao,Hwei,Lee Sin,Wukong,Corki,K'Sante,Camille,MSI,11049-11049_game_1,1,Bot,Support,Jungle,Mid,Top,Bot,Support,Mid,Jungle,Top
52,2024_Mid-Season_Invitational,Bracket Round 1,Top Esports,Team Liquid,3 - 0,14.8,Taliyah,Twisted Fate,Ziggs,Senna,Kalista,Varus,Lucian,Jhin,Nami,Milio,K'Sante,Aurelion Sol,Tristana,Volibear,Ahri,Jax,Vi,Corki,Xin Zhao,Renekton,MSI,11048-11048_game_3,1,Bot,Support,Top,Mid,Jungle,Bot,Support,Mid,Jungle,Top
53,2024_Mid-Season_Invitational,Bracket Round 1,Top Esports,Team Liquid,2 - 0,14.8,Taliyah,Kalista,Ziggs,Viego,Varus,Tristana,Senna,Smolder,Nautilus,Ornn,Xin Zhao,Aurelion Sol,Ahri,Jax,LeBlanc,Volibear,Rek'Sai,Corki,Twisted Fate,Rumble,MSI,11048-11048_game_2,1,Bot,Support,Jungle,Mid,Top,Bot,Support,Mid,Jungle,Top
54,2024_Mid-Season_Invitational,Bracket Round 1,Team Liquid,Top Esports,0 - 1,14.8,Draven,Taliyah,Senna,Ziggs,Varus,Aurelion Sol,Kalista,Lucian,Nami,Tristana,Maokai,Hwei,Nautilus,Viego,Ashe,Xin Zhao,Sejuani,Renata Glasc,K'Sante,Urgot,MSI,11048-11048_game_1,2,Bot,Mid,Jungle,Support,Top,Bot,Support,Mid,Jungle,Top
55,2024_Mid-Season_Invitational,Play-In Day 5,Fnatic,GAM Esports,2 - 0,14.8,Senna,Vi,Draven,Ashe,Varus,Kalista,Lucian,Zeri,Nautilus,Xin Zhao,Nami,Rumble,K'Sante,Wukong,Udyr,Maokai,Nocturne,Ahri,Ornn,Orianna,MSI,11047-11047_game_2,1,Bot,Jungle,Support,Mid,Top,Bot,Support,Top,Jungle,Mid
56,2024_Mid-Season_Invitational,Play-In Day 5,Fnatic,GAM Esports,1 - 0,14.8,Draven,Azir,Senna,Vi,Rumble,Lucian,Kalista,Varus,Taliyah,Orianna,Ashe,Urgot,Twisted Fate,Nautilus,Nocturne,Wukong,Lee Sin,Xin Zhao,K'Sante,Maokai,MSI,11047-11047_game_1,1,Bot,Mid,Support,Jungle,Top,Bot,Mid,Top,Jungle,Support
57,2024_Mid-Season_Invitational,Play-In Day 5,FlyQuest,TALON,0 - 2,14.8,Vi,Lee Sin,Ahri,Taliyah,Senna,Orianna,Azir,Aurelion Sol,Kalista,Varus,Neeko,Xin Zhao,Sejuani,Twisted Fate,Urgot,Nautilus,Rumble,Renekton,Viego,Ashe,MSI,11046-11046_game_2,2,Mid,Bot,Support,Top,Jungle,Mid,Bot,Jungle,Top,Support
58,2024_Mid-Season_Invitational,Play-In Day 5,FlyQuest,TALON,0 - 1,14.8,Vi,Lee Sin,Ahri,Taliyah,Wukong,Orianna,Varus,Senna,Nautilus,Renata Glasc,Urgot,Azir,Sejuani,Twisted Fate,Xin Zhao,Udyr,Viego,Maokai,Hwei,Rumble,MSI,11046-11046_game_1,2,Bot,Support,Top,Jungle,Mid,Bot,Support,Mid,Jungle,Top
59,2024_Mid-Season_Invitational,Play-In Day 4,LOUD,GAM Esports,1 - 2,14.8,Rumble,Jax,Vi,Lucian,Kalista,Varus,Senna,Zeri,Nautilus,Tahm Kench,Azir,Akali,Olaf,Nocturne,Poppy,Wukong,Lee Sin,Sejuani,Renekton,Twisted Fate,MSI,11045-11045_game_3,2,Bot,Support,Mid,Jungle,Top,Bot,Support,Mid,Jungle,Top
60,2024_Mid-Season_Invitational,Play-In Day 4,LOUD,GAM Esports,1 - 1,14.8,Rumble,Jax,Vi,Lucian,Kalista,Varus,Senna,Zeri,Nautilus,Tahm Kench,Taliyah,Ahri,Olaf,Twisted Fate,Lee Sin,Nocturne,Wukong,Viego,K'Sante,Urgot,MSI,11045-11045_game_2,2,Bot,Support,Mid,Jungle,Top,Bot,Support,Mid,Jungle,Top
61,2024_Mid-Season_Invitational,Play-In Day 4,LOUD,GAM Esports,1 - 0,14.8,Rumble,Jax,Vi,Lucian,Kalista,Varus,Senna,Taliyah,Tristana,Nautilus,Azir,Rakan,Poppy,Twisted Fate,Olaf,K'Sante,Renekton,Lee Sin,Ornn,Xin Zhao,MSI,11045-11045_game_1,1,Bot,Support,Mid,Jungle,Top,Mid,Bot,Support,Top,Jungle
62,2024_Mid-Season_Invitational,Play-In Day 4,Estral Esports,TALON,0 - 2,14.8,Senna,Lee Sin,Vi,Sejuani,Azir,Ashe,Taliyah,Varus,Ahri,K'Sante,Xin Zhao,Wukong,Kalista,Udyr,Draven,Rumble,Twisted Fate,Xayah,Rakan,Renata Glasc,MSI,11044-11044_game_2,2,Mid,Top,Jungle,Bot,Support,Bot,Mid,Jungle,Top,Support
63,2024_Mid-Season_Invitational,Play-In Day 4,TALON,Estral Esports,1 - 0,14.8,Lee Sin,Senna,Sejuani,Vi,Ashe,Azir,Varus,Kalista,Maokai,Taliyah,Wukong,Neeko,Rumble,Tristana,Nautilus,Twisted Fate,Renekton,Udyr,Galio,Aurelion Sol,MSI,11044-11044_game_1,1,Bot,Mid,Jungle,Top,Support,Bot,Jungle,Support,Top,Mid
64,2024_Mid-Season_Invitational,Play-In Day 3,Top Esports,Fnatic,2 - 1,14.8,Vi,Draven,Kalista,Lucian,LeBlanc,Senna,Varus,Xayah,Rakan,Maokai,Tristana,Taliyah,Nautilus,Xin Zhao,Rumble,Viego,Sejuani,Ashe,Renekton,Zac,MSI,11043-11043_game_3,1,Bot,Jungle,Mid,Support,Top,Bot,Support,Mid,Jungle,Top
