gameid,league_code,Winner,League,Phase,Blue,Red,Score,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,Winner,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
ESPORTSTMNT03_2714582,MSI,2,2022_Mid-Season_Invitational,Rumble Day 5,Saigon Buffalo,T1,0 - 1,12.8,LeBlanc,Ahri,Kalista,Lucian,Zoe,Wukong,Viego,Gwen,Twisted Fate,Camille,Galio,Xayah,Ezreal,Rakan,Senna,Alistar,Poppy,Kai'Sa,Taric,Renata Glasc,2,Jungle,Top,Mid,Bot,Support,Top,Mid,Bot,Jungle,Support
ESPORTSTMNT03_2714570,MSI,1,2022_Mid-Season_Invitational,Rumble Day 5,Evil Geniuses,TALON,1 - 0,12.8,Rell,Lucian,Xayah,Wukong,Gwen,LeBlanc,Ahri,Lee Sin,Ornn,Nocturne,Gangplank,Vex,Jinx,Renata Glasc,Tristana,Alistar,Kai'Sa,Samira,Nautilus,Leona,1,Mid,Jungle,Top,Bot,Support,Jungle,Top,Mid,Bot,Support
ESPORTSTMNT03_2714558,MSI,2,2022_Mid-Season_Invitational,Rumble Day 5,G2 Esports,Saigon Buffalo,0 - 1,12.8,Tristana,Lucian,Nocturne,Ahri,Lee Sin,LeBlanc,Wukong,Galio,Gwen,Vladimir,Kai'Sa,Xayah,Sylas,Rakan,Alistar,Graves,Aatrox,Nautilus,Anivia,Renata Glasc,2,Jungle,Top,Bot,Support,Mid,Mid,Jungle,Bot,Top,Support
ESPORTSTMNT03_2714545,MSI,1,2022_Mid-Season_Invitational,Rumble Day 4,Royal Never Give Up,Evil Geniuses,1 - 0,12.8,LeBlanc,Ahri,Kalista,Wukong,Zoe,Lucian,Viego,Lee Sin,Nautilus,Galio,Kai'Sa,Xayah,Camille,Twisted Fate,Jax,Mordekaiser,Gwen,Gangplank,Leona,Sylas,1,Jungle,Mid,Bot,Top,Support,Jungle,Support,Bot,Top,Mid
ESPORTSTMNT03_2714536,MSI,1,2022_Mid-Season_Invitational,Rumble Day 4,Saigon Buffalo,TALON,1 - 0,12.8,Lee Sin,Lucian,Nocturne,Wukong,Viego,Gwen,Ahri,Graves,Ornn,Camille,Kai'Sa,Vex,Volibear,Kalista,Xin Zhao,Xayah,Tristana,Trundle,Shen,Rell,1,Mid,Top,Bot,Jungle,Support,Jungle,Top,Mid,Bot,Support
ESPORTSTMNT03_2714529,MSI,2,2022_Mid-Season_Invitational,Rumble Day 4,G2 Esports,T1,0 - 1,12.8,Caitlyn,Lucian,Gwen,Wukong,Lee Sin,Ornn,Graves,Ahri,Nautilus,LeBlanc,Gangplank,Rumble,Xayah,Kalista,Tahm Kench,Vi,Viego,Jhin,Rakan,Aphelios,2,Jungle,Mid,Top,Bot,Support,Mid,Support,Top,Jungle,Bot
ESPORTSTMNT03_2714520,MSI,2,2022_Mid-Season_Invitational,Rumble Day 4,Saigon Buffalo,Royal Never Give Up,0 - 1,12.8,Kalista,Lucian,LeBlanc,Wukong,Syndra,Vladimir,Ahri,Vex,Viego,Xayah,Lee Sin,Gwen,Gangplank,Ezreal,Rakan,Kai'Sa,Tristana,Nautilus,Akali,Leona,2,Mid,Bot,Jungle,Support,Top,Mid,Jungle,Top,Bot,Support
ESPORTSTMNT03_2714500,MSI,2,2022_Mid-Season_Invitational,Rumble Day 4,T1,Evil Geniuses,0 - 1,12.8,LeBlanc,Lucian,Yasuo,Wukong,Twisted Fate,Ahri,Zoe,Galio,Nocturne,Gwen,Lee Sin,Gangplank,Xayah,Rakan,Tahm Kench,Ezreal,Nautilus,Kalista,Taric,Jinx,2,Mid,Top,Jungle,Bot,Support,Mid,Jungle,Top,Support,Bot
ESPORTSTMNT03_2714482,MSI,1,2022_Mid-Season_Invitational,Rumble Day 4,TALON,G2 Esports,1 - 0,12.8,Lucian,Wukong,LeBlanc,Ahri,Twisted Fate,Graves,Lee Sin,Kalista,Gwen,Rell,Tristana,Poppy,Vladimir,Pyke,Gangplank,Zoe,Nautilus,Kennen,Syndra,Corki,1,Jungle,Support,Bot,Top,Mid,Bot,Top,Jungle,Support,Mid
ESPORTSTMNT03_2714459,MSI,1,2022_Mid-Season_Invitational,Rumble Day 3,Evil Geniuses,Saigon Buffalo,1 - 0,12.8,Kalista,Lucian,Tristana,LeBlanc,Gwen,Ahri,Wukong,Nocturne,Ezreal,Kai'Sa,Ornn,Kennen,Nautilus,Karma,Rakan,Zoe,Leona,Sylas,Alistar,Veigar,1,Jungle,Bot,Top,Mid,Support,Jungle,Bot,Top,Support,Mid
ESPORTSTMNT03_2714452,MSI,1,2022_Mid-Season_Invitational,Rumble Day 3,Royal Never Give Up,G2 Esports,1 - 0,12.8,Graves,Lucian,Senna,Wukong,Kalista,Kai'Sa,Ahri,Ezreal,Viego,Lee Sin,Gwen,LeBlanc,Nautilus,Karma,Tristana,Ornn,Riven,Xayah,Rakan,Yuumi,1,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Mid,Top,Support
ESPORTSTMNT03_2714443,MSI,1,2022_Mid-Season_Invitational,Rumble Day 3,T1,TALON,1 - 0,12.8,LeBlanc,Lucian,Vex,Vi,Ahri,Wukong,Kalista,Tristana,Rell,Twisted Fate,Gangplank,Galio,Renata Glasc,Nocturne,Nautilus,Ornn,Viego,Lee Sin,Gragas,Gwen,1,Bot,Mid,Top,Jungle,Support,Bot,Support,Mid,Jungle,Top
ESPORTSTMNT03_2714434,MSI,1,2022_Mid-Season_Invitational,Rumble Day 3,Royal Never Give Up,Saigon Buffalo,1 - 0,12.8,Twisted Fate,Lucian,Nocturne,Ahri,Vladimir,LeBlanc,Wukong,Viego,Gwen,Jax,Kalista,Tristana,Syndra,Alistar,Galio,Vex,Malzahar,Nautilus,Viktor,Leona,1,Jungle,Top,Bot,Support,Mid,Jungle,Top,Bot,Mid,Support
ESPORTSTMNT03_2714426,MSI,2,2022_Mid-Season_Invitational,Rumble Day 3,G2 Esports,TALON,0 - 1,12.8,Gwen,Lucian,Kai'Sa,Wukong,Vex,Ahri,Kalista,Tristana,Lee Sin,Viego,LeBlanc,Lissandra,Pyke,Gangplank,Renata Glasc,Gnar,Ornn,Aatrox,Gragas,Rell,2,Bot,Jungle,Mid,Top,Support,Bot,Jungle,Mid,Top,Support
ESPORTSTMNT03_2714405,MSI,2,2022_Mid-Season_Invitational,Rumble Day 3,Evil Geniuses,T1,0 - 1,12.8,Kalista,Lucian,LeBlanc,Wukong,Jax,Ahri,Gwen,Graves,Senna,Twisted Fate,Ezreal,Sylas,Lee Sin,Tahm Kench,Nocturne,Vladimir,Gangplank,Bard,Viego,Nautilus,2,Top,Mid,Bot,Support,Jungle,Jungle,Bot,Mid,Top,Support
ESPORTSTMNT03_2714360,MSI,2,2022_Mid-Season_Invitational,Rumble Day 2,Saigon Buffalo,G2 Esports,0 - 1,12.8,Diana,Lucian,Kalista,Wukong,Pyke,Tristana,Viego,Ahri,Graves,Twisted Fate,Senna,Ezreal,Nautilus,Karma,Gwen,Leona,Bard,Vayne,Vladimir,Sion,2,Jungle,Mid,Support,Top,Bot,Mid,Jungle,Bot,Support,Top
ESPORTSTMNT03_2714351,MSI,1,2022_Mid-Season_Invitational,Rumble Day 2,Royal Never Give Up,T1,1 - 0,12.8,LeBlanc,Lucian,Graves,Wukong,Kalista,Nocturne,Ahri,Ezreal,Zoe,Kai'Sa,Nautilus,Xin Zhao,Viego,Braum,Lee Sin,Jax,Leona,Volibear,Camille,Gwen,1,Mid,Bot,Support,Jungle,Top,Bot,Mid,Jungle,Support,Top
