gameid,league_code,Winner,League,Phase,Blue,Red,Score,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,Winner,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
ESPORTSTMNT06/1721087,MSI,1,2021_Mid-Season_Invitational,Finals,Royal Never Give Up,Dplus KIA,3 - 2,11.9,Zoe,Renekton,Senna,Lee Sin,Thresh,Lucian,Udyr,Varus,Rumble,Kai'Sa,Nocturne,Tahm Kench,Nautilus,Sylas,Rell,Gnar,Jayce,Gragas,Leona,Aatrox,1,Jungle,Bot,Mid,Top,Support,Bot,Jungle,Support,Mid,Top
ESPORTSTMNT06/1721086,MSI,1,2021_Mid-Season_Invitational,Finals,Dplus KIA,Royal Never Give Up,2 - 2,11.9,Thresh,Zoe,Lucian,Senna,Varus,Lee Sin,Renekton,Gragas,Kai'Sa,Nidalee,Tristana,Udyr,Gnar,Nautilus,Sylas,Orianna,Leona,Aatrox,Rell,Ryze,1,Mid,Jungle,Bot,Top,Support,Top,Bot,Jungle,Support,Mid
ESPORTSTMNT06/1721085,MSI,1,2021_Mid-Season_Invitational,Finals,Royal Never Give Up,Dplus KIA,2 - 1,11.9,Zoe,Renekton,Senna,Lee Sin,Varus,Lucian,Udyr,Thresh,Jinx,Kai'Sa,Gnar,Morgana,Nautilus,Gangplank,Orianna,Sion,Nocturne,Leona,Ryze,Syndra,1,Jungle,Bot,Top,Support,Mid,Support,Bot,Jungle,Top,Mid
ESPORTSTMNT06/1721084,MSI,1,2021_Mid-Season_Invitational,Finals,Dplus KIA,Royal Never Give Up,1 - 1,11.9,Thresh,Zoe,Lucian,Senna,Varus,Renekton,Lee Sin,Udyr,Kai'Sa,Morgana,Tristana,Jayce,Sylas,Nautilus,Syndra,Ryze,Orianna,Leona,Xerath,Rell,1,Top,Jungle,Bot,Support,Mid,Jungle,Bot,Top,Mid,Support
ESPORTSTMNT06/1721069,MSI,1,2021_Mid-Season_Invitational,Finals,Royal Never Give Up,Dplus KIA,1 - 0,11.9,Zoe,Thresh,Senna,Renekton,Varus,Lee Sin,Lucian,Tristana,Morgana,Udyr,Kai'Sa,Sion,Orianna,Syndra,Nocturne,Viktor,Leona,Gragas,Nautilus,Akali,1,Mid,Jungle,Bot,Top,Support,Bot,Jungle,Top,Support,Mid
ESPORTSTMNT06/1721060,MSI,2,2021_Mid-Season_Invitational,Semifinals,MAD Lions KOI,Dplus KIA,2 - 3,11.9,Renekton,Thresh,Morgana,Lee Sin,Tahm Kench,Lucian,Udyr,Tristana,Rumble,Kai'Sa,Leona,Zoe,Twisted Fate,Sion,Orianna,Rell,Alistar,Sylas,Gnar,Jayce,2,Jungle,Bot,Support,Mid,Top,Bot,Jungle,Mid,Support,Top
ESPORTSTMNT06/1721059,MSI,1,2021_Mid-Season_Invitational,Semifinals,Dplus KIA,MAD Lions KOI,2 - 2,11.9,Thresh,Renekton,Lucian,Tahm Kench,Varus,Morgana,Lee Sin,Kai'Sa,Udyr,Rumble,Tristana,Gnar,Zoe,Orianna,Jayce,Ryze,Leona,Sylas,Rell,Viktor,1,Top,Jungle,Bot,Mid,Support,Bot,Jungle,Top,Support,Mid
ESPORTSTMNT06/1721058,MSI,2,2021_Mid-Season_Invitational,Semifinals,Dplus KIA,MAD Lions KOI,1 - 2,11.9,Lucian,Renekton,Lee Sin,Tahm Kench,Thresh,Morgana,Varus,Udyr,Leona,Rumble,Nautilus,Kai'Sa,Sion,Sylas,Zoe,Twisted Fate,Orianna,Gnar,Jayce,Wukong,2,Bot,Jungle,Support,Top,Mid,Jungle,Support,Bot,Mid,Top
ESPORTSTMNT06/1721057,MSI,1,2021_Mid-Season_Invitational,Semifinals,MAD Lions KOI,Dplus KIA,1 - 1,11.9,Renekton,Lucian,Morgana,Thresh,Varus,Senna,Lee Sin,Kai'Sa,Udyr,Volibear,Xayah,Gnar,Twisted Fate,Zoe,Orianna,Leona,Nautilus,Braum,Sylas,Viktor,1,Top,Jungle,Bot,Support,Mid,Bot,Jungle,Top,Support,Mid
ESPORTSTMNT06/1721053,MSI,1,2021_Mid-Season_Invitational,Semifinals,Dplus KIA,MAD Lions KOI,1 - 0,11.9,Lucian,Renekton,Lee Sin,Senna,Thresh,Morgana,Varus,Udyr,Kai'Sa,Rumble,Tahm Kench,Zoe,Orianna,Nautilus,Sion,Wukong,Jayce,Yone,Ornn,Rell,1,Bot,Jungle,Support,Mid,Top,Jungle,Bot,Mid,Top,Support
